https://www.w3schools.com/jsref/obj_window.asp

Window Object Methods/Function-------------------------------->
Method					            Description
-------------------------------------------------------------------------------------------
addEventListener()					Attaches an event handler to the window
alert()					            Displays an alert box with a message and an OK button
atob()					            Decodes a base-64 encoded string
blur()					            Removes focus from the current window
btoa()					            Encodes a string in base-64
clearInterval()					    Clears a timer set with setInterval()
clearTimeout()					    Clears a timer set with setTimeout()
close()					            Closes the current window
confirm()					        Displays a dialog box with a message and an OK and a Cancel button
focus()					            Sets focus to the current window
getComputedStyle()					Gets the current computed CSS styles applied to an element
getSelection()					    Returns a Selection object representing the range of text selected by the user
matchMedia()					    Returns a MediaQueryList object representing the specified CSS media query string
moveBy()					        Moves a window relative to its current position
moveTo()					        Moves a window to the specified position
open()					            Opens a new browser window
print()					            Prints the content of the current window
prompt()					        Displays a dialog box that prompts the visitor for input
removeEventListener()				Removes an event handler from the window
requestAnimationFrame()				Requests the browser to call a function to update an animation before the next repaint
resizeBy()					        Resizes the window by the specified pixels
resizeTo()					        Resizes the window to the specified width and height
scroll()					        Deprecated. This method has been replaced by the scrollTo() method.
scrollBy()					        Scrolls the document by the specified number of pixels
scrollTo()					        Scrolls the document to the specified coordinates
setInterval()					    Calls a function or evaluates an expression at specified intervals (in milliseconds)
setTimeout()					    Calls a function or evaluates an expression after a specified number of milliseconds
stop()					            Stops the window from loading
